Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_08_Verify that submitting un-successfully digital loyalty account with missing city at step 1,Chrome 69.0.3497.100,,2018-10-15 16:32:49,2018-10-15 16:33:03,14.382s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:32:49,2018-10-15 16:32:49,0.002s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:32:49,2018-10-15 16:32:57,7.566s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:32:57,2018-10-15 16:32:57,0.643s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:32:57,2018-10-15 16:32:58,0.757s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:58,2018-10-15 16:32:58,0.002s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:58,2018-10-15 16:32:59,0.852s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:32:59,2018-10-15 16:32:59,0.547s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:32:59,2018-10-15 16:33:00,0.597s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:33:00,2018-10-15 16:33:01,0.485s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:33:01,2018-10-15 16:33:01,0.348s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:33:01,2018-10-15 16:33:02,1.027s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,"verify Error ""You must provide a city."" displays",2018-10-15 16:33:02,2018-10-15 16:33:02,0.086s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:33:02,2018-10-15 16:33:03,0.996s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_09_Verify that submitting un-successfully digital loyalty account with missing postal code at step 1,Chrome 69.0.3497.100,,2018-10-15 16:33:03,2018-10-15 16:33:17,14.285s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:33:03,2018-10-15 16:33:03,0.001s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:33:03,2018-10-15 16:33:11,7.968s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:33:11,2018-10-15 16:33:12,0.538s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:33:12,2018-10-15 16:33:12,0.473s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:12,2018-10-15 16:33:12,0.001s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:12,2018-10-15 16:33:13,0.780s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:33:13,2018-10-15 16:33:14,0.587s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:33:14,2018-10-15 16:33:14,0.518s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:33:14,2018-10-15 16:33:15,0.508s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:33:15,2018-10-15 16:33:15,0.435s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:33:15,2018-10-15 16:33:16,1.014s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,"verify Error ""You must provide a postal code."" displays",2018-10-15 16:33:16,2018-10-15 16:33:16,0.057s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:33:16,2018-10-15 16:33:17,0.978s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_10_Verify that submitting successfully digital loyalty account at step 1,Chrome 69.0.3497.100,,2018-10-15 16:33:17,2018-10-15 16:33:34,16.794s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:33:18,2018-10-15 16:33:18,0.001s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:33:18,2018-10-15 16:33:26,7.781s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:33:26,2018-10-15 16:33:26,0.592s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:33:26,2018-10-15 16:33:27,0.448s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:27,2018-10-15 16:33:27,0.002s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:27,2018-10-15 16:33:28,0.853s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:33:28,2018-10-15 16:33:28,0.674s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:33:28,2018-10-15 16:33:29,0.674s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:33:29,2018-10-15 16:33:29,0.506s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:33:29,2018-10-15 16:33:30,0.422s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:33:30,2018-10-15 16:33:30,0.430s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:33:30,2018-10-15 16:33:33,2.824s,PASSED
